,n
92,"(_92:Movie {released: 2006, tagline: ""Based on the extraordinary true story of one man's fight for freedom"", title: 'RescueDawn'})"
93,"(_93:Person {born: 1974, name: 'Christian Bale'})"
94,"(_94:Person {born: 1954, name: 'Zach Grenier'})"
95,"(_95:Movie {released: 1996, tagline: 'Come as you are', title: 'The Birdcage'})"
96,"(_96:Person {born: 1931, name: 'Mike Nichols'})"
97,"(_97:Movie {released: 1992, tagline: ""It's a hell of a thing, killing a man"", title: 'Unforgiven'})"
98,"(_98:Person {born: 1930, name: 'Richard Harris'})"
99,"(_99:Person {born: 1930, name: 'Clint Eastwood'})"
100,"(_100:Movie {released: 1995, tagline: 'The hottest data on earth. In the coolest head in town', title: 'Johnny Mnemonic'})"
101,"(_101:Person {born: 1947, name: 'Takeshi Kitano'})"
102,"(_102:Person {born: 1968, name: 'Dina Meyer'})"
103,"(_103:Person {born: 1958, name: 'Ice-T'})"
104,"(_104:Person {born: 1953, name: 'Robert Longo'})"
105,"(_105:Movie {released: 2012, tagline: 'Everything is connected', title: 'Cloud Atlas'})"
106,"(_106:Person {born: 1966, name: 'Halle Berry'})"
107,"(_107:Person {born: 1949, name: 'Jim Broadbent'})"
108,"(_108:Person {born: 1965, name: 'Tom Tykwer'})"
109,"(_109:Person {born: 1969, name: 'David Mitchell'})"
110,"(_110:Person {born: 1961, name: 'Stefan Arndt'})"
111,"(_111:Movie {released: 2006, tagline: 'Break The Codes', title: 'The Da Vinci Code'})"
112,"(_112:Person {born: 1939, name: 'Ian McKellen'})"
113,"(_113:Person {born: 1976, name: 'Audrey Tautou'})"
114,"(_114:Person {born: 1971, name: 'Paul Bettany'})"
115,"(_115:Person {born: 1954, name: 'Ron Howard'})"
116,"(_116:Movie {released: 2006, tagline: 'Freedom! Forever!', title: 'V for Vendetta'})"
117,"(_117:Person {born: 1981, name: 'Natalie Portman'})"
118,"(_118:Person {born: 1946, name: 'Stephen Rea'})"
119,"(_119:Person {born: 1940, name: 'John Hurt'})"
120,"(_120:Person {born: 1967, name: 'Ben Miles'})"
121,"(_121:Movie {released: 2008, tagline: 'Speed has no limits', title: 'Speed Racer'})"
122,"(_122:Person {born: 1985, name: 'Emile Hirsch'})"
123,"(_123:Person {born: 1960, name: 'John Goodman'})"
124,"(_124:Person {born: 1946, name: 'Susan Sarandon'})"
125,"(_125:Person {born: 1966, name: 'Matthew Fox'})"
126,"(_126:Person {born: 1980, name: 'Christina Ricci'})"
127,"(_127:Person {born: 1982, name: 'Rain'})"
128,"(_128:Movie {released: 2009, tagline: 'Prepare to enter a secret world of assassins', title: 'Ninja Assassin'})"
129,(_129:Person {name: 'Naomie Harris'})
130,"(_130:Movie {released: 1999, tagline: ""Walk a mile you'll never forget."", title: 'The Green Mile'})"
131,"(_131:Person {born: 1957, name: 'Michael Clarke Duncan'})"
132,"(_132:Person {born: 1953, name: 'David Morse'})"
133,"(_133:Person {born: 1968, name: 'Sam Rockwell'})"
134,"(_134:Person {born: 1955, name: 'Gary Sinise'})"
135,"(_135:Person {born: 1959, name: 'Patricia Clarkson'})"
136,"(_136:Person {born: 1959, name: 'Frank Darabont'})"
137,"(_137:Movie {released: 2008, tagline: '400 million people were waiting for the truth.', title: 'Frost/Nixon'})"
138,"(_138:Person {born: 1938, name: 'Frank Langella'})"
139,"(_139:Person {born: 1969, name: 'Michael Sheen'})"
140,"(_140:Person {born: 1960, name: 'Oliver Platt'})"
141,"(_141:Movie {released: 1992, tagline: ""He didn't want law. He wanted justice."", title: 'Hoffa'})"
142,"(_142:Person {born: 1944, name: 'Danny DeVito'})"
143,"(_143:Person {born: 1965, name: 'John C. Reilly'})"
144,"(_144:Movie {released: 1995, tagline: 'Houston, we have a problem.', title: 'Apollo 13'})"
145,"(_145:Person {born: 1950, name: 'Ed Harris'})"
146,"(_146:Person {born: 1955, name: 'Bill Paxton'})"
147,"(_147:Movie {released: 1996, tagline: ""Don't Breathe. Don't Look Back."", title: 'Twister'})"
148,"(_148:Person {born: 1967, name: 'Philip Seymour Hoffman'})"
149,"(_149:Person {born: 1943, name: 'Jan de Bont'})"
150,"(_150:Movie {released: 2000, tagline: 'At the edge of the world, his journey begins.', title: 'Cast Away'})"
151,"(_151:Person {born: 1951, name: 'Robert Zemeckis'})"
152,"(_152:Movie {released: 1975, tagline: ""If he's crazy, what does that make you?"", title: ""One Flew Over the Cuckoo's Nest""})"
153,"(_153:Person {born: 1932, name: 'Milos Forman'})"
154,"(_154:Movie {released: 2003, title: ""Something's Gotta Give""})"
155,"(_155:Person {born: 1946, name: 'Diane Keaton'})"
156,"(_156:Person {born: 1949, name: 'Nancy Meyers'})"
157,"(_157:Movie {released: 1999, tagline: ""One robot's 200 year journey to become an ordinary man."", title: 'Bicentennial Man'})"
158,"(_158:Person {born: 1958, name: 'Chris Columbus'})"
159,"(_159:Movie {released: 2007, tagline: ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire."", title: ""Charlie Wilson's War""})"
160,"(_160:Person {born: 1967, name: 'Julia Roberts'})"
161,"(_161:Movie {released: 2004, tagline: 'This Holiday Season\u2026 Believe', title: 'The Polar Express'})"
162,"(_162:Movie {released: 1992, tagline: 'Once in a lifetime you get a chance to do something different.', title: 'A League of Their Own'})"
163,"(_163:Person {born: 1954, name: 'Madonna'})"
164,"(_164:Person {born: 1956, name: 'Geena Davis'})"
165,"(_165:Person {born: 1963, name: 'Lori Petty'})"
166,"(_166:Person {born: 1943, name: 'Penny Marshall'})"
167,(_167:Person {name: 'Paul Blythe'})
168,(_168:Person {name: 'Angela Scope'})
169,(_169:Person {name: 'Jessica Thompson'})
170,(_170:Person {name: 'James Thompson'})
